term,definition
CCA,Consolidated Control Account
CCATF,COMMANDER COMBINED AMPHIBIOUS TASK FORCE
CCC,Capabilities Coordination Cell
CCC,Coalition Coordination Cell
CCCI,COMMAND CONTROL COMMUNICATIONS & INFORMATION
CCCS,COMMAND CONTROL AND COMMUNICATIONS SYSTEM
CCEB,Combined Communications-Electronics Board
CCG,Council Coordination Group
CCG,Coalition Coordination Group 
CCID,Coalition Combat Identification
CCIR,Commanders Critical Information Requirement
CCIRM,COLLECTION CO-ORDINATION AND INTELLIGENCE REQUIREMENTS MANAGEMENT
CCIS ,Command and Control Information System
CCISG,CJTF Concept Implementation Steering Group 
CCLF,COMMANDER COMBINED LANDING FORCE
CCM,Capability Component Manager 
CCMS,(NATO) Committee on the Challenges of Modern Society
CCO,Compact Commander Offices
CCPC,Civil Communication Planning Committee
CCSI,COLLECTIVE COST SHARING INITIATIVE
CCT,COMBAT CONTROL TEAM
CCTF,"CDR, Combined Task Force"
CD,Collective Defence
CD&E,Concept Development and Experimentation
CDAS ,Central Data Acquisition System 
CDE,Concept Development and Experimentation
CDE,MCM related ????
CDE,CONFERENCE ON CONFIDENCE AND SECURITY BUILDING MEASURES AND DISARMAMENT IN EUROPE
CDEW,Cyber Defence and Electronic Warfare.
CDO,COMMANDO
CDP,Capability Development Process 
CDT,Capabilities Development Team
CDW,Collision Damage Waiver
CDW/ LDW,Collision Damage/ Loss Damage Waiver
CE,Crisis Establishment 
CE,COMBINED ENDEAVOR
CEAC,Committee for European Airspace Coordination
CEE ,Controlled Exposure Experiment 
CEL,Combined  Events List
CEM,CONTINGENCY ENGINEER MANAGEMENT
CENTLANT,"MARITIME FORCES, CENTRAL SUB-AREA"
CEP,Communication Equipment Programme 
CEP,CIRCULAR ERROR OF PROBABILITY
CEP,CIVIL EMERGENCY PLANNING
CEP,COMMUNICATIONS EQUIPMENT PROGRAMME
CEPMO/ A,Central European Pipeline Management Organisation/ Agency
CEPMO/ BOD,Central European Pipeline Management Organisation/ Boards of Directors
CEPS,Central Europe Pipeline System
CERBERUS LAN ,Local Area Network for CERBERUS Sea Trial 
CES,CONSTRUCTION ENGINEERING SUPPORT
CESDP,Common European Security and Defense Policy
CET,Core Evaluation Team
CF,Coalition Forces
CF,Customer Funding
CFA,CEASE FIRE AGREEMENT
CFAAC,Coalition Force Air Component CDR
CFBLNet,Combined Federated Battle Laboratories Network
CFE,CONVENTIONAL FORCES IN EUROPE
CFE,NEGOTIATIONS/AGREEMENT ON CONVENTIONAL FORCES IN EUROPE
CFL,CEASE FIRE LINE
CFLCC,Coalition Force Land Component CDR
CFMCC,Coalition Force Maritime Component CDR
CFR,Customer Funded Regime
CFRP,Crash Fire Fighting Rescue Panel 
CFT,Cross Function Team
CFX,Command Field Exercise
CG&D,Command Group & Directorates
CGFE,Command Group Forward Element
CHOD,CHiefs Of Defence
CHOP,CHANGE OF OPERATIONAL CONTROL
CI,Combat Identification
CI,COUNTER INTELLIGENCE
CI&SY,COUNTER-INTELLIGENCE AND SECURITY
CIAT,Coalition Incident Assessment Team
CIB,Combined Information Bureau
CIBRA ,Centro Interdisciplinaria di Bioacustica e Ricerche Ambientali 
CIC,COMBINED INTELLIGENCE CELL
CIC,Communications and Information Center
CICA,COUNTER-INTELLIGENCE COORDINATING AUTHORITY
CICR,Committee on Infrastructure and Cultural Relations
CICR,Committee on Information & Cultural Relationships
CID,Combat Identification
CIE,Collaborative Information Environment 
CIED,Countering Improvised Explosive Device 
C-IED,Counter-Improvised Explosive Devices 
CIFS,CLOSE-IN FIRE SUPPORT
CIMIC,Civil/Military Cooperation
CIMIC,Civil Military Cooperation
CINC,COMMANDER-IN-CHIEF
CINCEASTLANT,"COMMANDER-IN-CHIEF, EASTERN ATLANTIC AREA (closed)"
CINCENT,"COMMANDER-IN-CHIEF, ALLIED FORCES CENTRAL EUROPE"
CINCIBERLANT,"COMMANDER-IN-CHIEF, IBERIAN ATLANTIC AREA (closed)"
CINCNORTH,"COMMANDER-IN-CHIEF, ALLIED FORCES NORTHERN EUROPE"
CINCNORTHWEST,"COMMANDER-IN-CHIEF, ALLIED FORCES NORTHWESTERN EUROPE"
CINCSOUTH,"COMMANDER-IN-CHIEF, ALLIED FORCES SOUTHERN EUROPE"
CINCUKAIR,"COMMANDER-IN-CHIEF, UK AIR FORCE"
CINCUSAFE,"COMMANDER-IN-CHIEF, US AIR FORCE, EUROPE"
CINCUSAREUR,"COMMANDER-IN-CHIEF, US ARMY, EUROPE"
CINCWESTLANT,"COMMANDER-IN-CHIEF, WESTERN ATLANTIC AREA (closed)"
CIP,COMMUNICATIONS IMPROVEMENT PLAN
CIP-67,COMMUNICATIONS IMPROVEMENT PROGRAMME - 1967
CIPACE,COUNTER INTELLIGENCE POLICY IN ACE
CIS,Commonwealth of Independent States
CIS,COMMONWEALTH OF INDEPENDENT STATES
CIS,Communications and Information System
CIS,Computer Information System
CIS ,Centre Images Signaux 
CIS/ ESG,CIS/ Executive Steering Group
CISI,"Chapter, Item, Sub-Item "
CIT,CJTF Implementation Team
CITADEL ,Countering Intruders and Terrorists threats with AUVs and Drones in the Environment of La Spezia 
CITS,Combat ID Training System 
CIV,CIVILIAN
CIVPOL,CIVILIAN POLICE
CIWS,CLOSE IN WEAPONS SYSTEM
CJ-1,COMBINED JOINT STAFF FOR PERSONNEL & ADMINISTRATION
CJ-2,COMBINED JOINT STAFF FOR INTELLIGENCE
CJ-3,COMBINED JOINT STAFF FOR OPERATIONS
CJ-4,COMBINED JOINT STAFF FOR LOGISTICS
CJ-5,COMBINED JOINT STAFF FOR PLANNING
CJ-6,COMBINED JOINT STAFF FOR COMMUNICATIONS & INFORMATION SUPPORT
CJCCC,COMBINED JOINT COMMUNICATION COORDINATION CENTRE
CJCMTF,COMBINED JOINT CIVIL MILITARY TASK FORCE
CJCSI,Chairman of the U.S. Joint Chiefs of Staff Instruction
CJFCC,Combined Joint Forces Component Command
CJICTF,COMBINED JOINT INFORMATION CAMPAIGN TASK FORCE
CJMCRTF,COMBINED JOINT MILITARY CIVILIAN RELATIONS TASK FORCE
CJPS,COMBINED JOINT PLANNING STAFF
CJSOR,Combined Joint Statement of Requirement
CJSOR,Combined Joint Statement Of (Operational) Requirement
CJTF,Combined Joint Task Force
CJTF ,Commander Joint Task Force 
CL,CONFRONTATION LINE
CLF,COMMANDER LANDING FORCE
CLiCC,Collaboration in C2 Systems
CLSP,COMPOSITE LAUNCH SEQUENCE PLAN
CM,Capability Module
CM,Confrontation Manager
CM,Configuration Management 
CM,Crisis Management
CM&D,COLLECTION MANAGEMENT AND DISSEMINATION
CMATT,Coalition Military Assistance Training Team
CMB,Capabilities Management Board
CMB (F),Capabilities Management Board (Finance)
CMC,Chairman Military Committee
CMC,Civil Military Cooperation 
CMD,CENTRAL MAP DEPOT
CMD,COMMAND
CMDT,COMMANDANT
CME,Crisis Management Exercise
CMF,Core Military Funktion
CMF,Capability/ Capabilities Management Framework
CMF,CONCEPTUAL MILITARY FRAMEWORK
CMFC,Crisis Management Fusion Centre
CMM,CRISIS MANAGEMENT MANUAL
CMM,Crisis Management Measures
CMO,CIVIL MILITARY OPERATIONS
CMP,Capability Master Plan 
CMP,Capability Management Process 
CMRB,Crisis Management Resource Board
CMWG,Capabilities Management Working Group
CMX,Crisis Management Exercise
CMX CPT,Crisis Management Exercise  Core Planning Team
CN,Contributing Nations
CNAD ,Conference of National Armaments Directors 
CNR ,Consiglio Nazionale delle Ricerche 
CNR (ISMAR) ,Consiglio Nazionale delle Ricerche (Istituto per le Scienze Marine) 
CO,COMMANDING OFFICER
COA,Course of Action
COAC,Combined Air Operations Centre
COB,Close of Business
COBRA,Coastal Batllefield Reconnaissance and Analysis system
CODEL,CONGRESSIONAL DELEGATION
COE,Centre of Excellence
COE,COUNCIL OF EUROPE
COE,COUNTRY OWN
COE,Common Operating Environment
COEC,Council Operations and Executive Committee
COFDEN,COMMANDER DANISH OPERATIONAL FORCES
COFS,CHIEF OF STAFF (SHAPE)
COG,Centre of Gravity
COH,CESSATION OF HOSTILITIES
COHA,CESSATION OF HOSTILITIES AGREEMENT
COINS,COMMUNICATION AND INFORMATION SYSTEM (SEE SHED)
COLOC,CHANGE OF LOCATION OF COMMAND
COM,Communications Module
COM ,Communications 
COM ,Commander
COM JFCB,??
COMAAFCE,"COMMANDER, ALLIED AIR FORCES CENTRAL EUROPE"
COMAIRCENT,COMMANDER ALLIED AIR FORCES CENTRAL EUROPE
COMAIRNORTHWEST,COMMANDER ALLIED AIR FORCES NORTHWESTERN EUROPE
COMAIRSOUTH,COMMANDER ALLIED AIR FORCES SOUTHERN EUROPE
